Last Week Day,Week,Number of Datasets,Number of Organizations,Number of Registered Users,Datasets Created,Datasets Deleted,Datasets Edited,Number of New Registered Users,Number of New Organizations,Number of New Datasets,MailChimp Campaign,Unique Visitors,Unique Sessions,Total Events,Number of Downloads,Number of Previews,Number of Shares,Number of Dataset Shares,Average Session Duration,Total Unique Events,Unique Downloads,Unique Previews,Unique Shares,Unique Dataset Shares,User Register,Bounce Rate,Tweets,Twitter Followers,Twitter Following,Conversion Visitors to Download,Conversation Visitors to Register,Conversition Visitors to Share
2014-12-07,2014-W49,1326,79,592,13,0,111,284,2,6,,2073,3365,1701,1003,519,41,138,0:04:28,678,486,284,32,57,0,41.58%,,,,23.44%,0.00%,2.75%
2014-11-30,2014-W48,1320,77,554,9,3,135,308,3,-31,,2333,3677,1762,1090,470,34,168,0:04:03,715,512,307,30,66,0,49.47%,490,2032,390,21.95%,0.00%,2.83%
2014-11-23,2014-W47,1351,74,517,15,1,106,246,3,6,,2581,4174,2129,1339,562,43,185,0:04:12,892,655,347,39,62,0,44.25%,472,2009,382,25.38%,0.00%,2.40%
2014-11-16,2014-W46,1345,71,475,5,1,84,271,6,4,,2510,4136,1982,1197,565,38,182,0:04:34,848,607,357,35,70,0,44.49%,,,,24.18%,0.00%,2.79%
2014-11-09,2014-W45,1341,65,434,6,3,84,204,0,9,,1527,2452,1032,639,246,20,127,0:04:56,480,336,156,19,61,0,36.83%,443,1873,377,22.00%,0.00%,3.99%
2014-11-02,2014-W44,1332,65,404,5,0,81,230,4,12,,1483,2194,32,6,6,7,13,0:03:52,3,2,2,2,3,0,41.98%,,,,0.13%,0.00%,0.20%
2014-10-26,2014-W43,1320,61,383,8,32,237,174,3,-6,,2601,3769,,,,,,0:03:19,,,,,,0,46.75%,397,1793,360,,,
2014-10-19,2014-W42,1326,58,361,3,10,40,209,1,2,,1468,2270,,,,,,0:04:23,,,,,,0,38.06%,,,,,,
2014-10-12,2014-W41,1324,57,338,1,0,22,152,4,6,,781,1313,,,,,,0:04:14,,,,,,0,37.85%,338,1488,322,,,
2014-10-05,2014-W40,1318,53,315,8,1,54,186,5,-26,,689,1260,,,,,,0:05:00,,,,,,0,37.06%,,,,,,
2014-09-28,2014-W39,1344,48,302,0,30,405,129,2,4,,547,949,,,,,,0:05:31,,,,,,0,37.41%,297,1435,290,,,
2014-09-21,2014-W38,1340,46,288,4,2,37,173,4,3,,422,778,,,,,,0:05:09,,,,,,0,33.93%,,,,,,
2014-09-14,2014-W37,1337,42,277,0,1,24,115,1,6,,375,745,,,,,,0:05:54,,,,,,0,31.41%,268,1364,267,,,
2014-09-07,2014-W36,1331,41,268,6,0,244,162,1,0,,349,602,,,,,,0:04:44,,,,,,0,30.73%,,,,,,
2014-08-31,2014-W35,1331,40,261,1,0,19,106,1,0,,398,657,,,,,,0:04:09,,,,,,1,26.94%,243,1339,270,,,
2014-08-24,2014-W34,1331,39,250,0,0,5,155,4,3,,334,597,,,,,,0:03:52,,,,,,36,29.82%,,,,,,
2014-08-17,2014-W33,1328,35,235,3,1,25,95,3,2,,492,818,,,,,,0:03:52,,,,,,1,27.63%,,,,,,
2014-08-10,2014-W32,1326,32,219,2,0,16,140,2,0,,504,852,,,,,,0:04:17,,,,,,0,32.04%,,,,,,
2014-08-03,2014-W31,1326,30,197,0,0,42,79,1,0,,689,1154,,,,,,0:04:21,,,,,,0,32.06%,210,1242,268,,,
2014-07-27,2014-W30,1326,29,170,0,0,152,118,13,152,,1241,2089,,,,,,0:03:41,,,,,,34,31.45%,197,1183,262,,,
2014-07-20,2014-W29,1174,16,64,148,3,287,52,-5,-27,,2766,4605,,,,,,0:03:40,,,,,,236,25.97%,189,1115,255,,,
2014-07-13,2014-W28,1201,21,58,4,28,1105,12,0,4,,89,452,,,,,,0:20:19,,,,,,36,13.27%,188,952,257,,,
2014-07-06,2014-W27,1197,21,57,1,1,14,46,2,5,,57,243,,,,,,0:19:18,,,,,,10,18.52%,,,,,,
2014-06-29,2014-W26,1192,19,53,12,7,42,11,1,2,,82,296,,,,,,0:16:51,,,,,,21,16.22%,,609,211,,,
2014-06-22,2014-W25,1190,18,49,3,2,3,42,0,-3,,59,250,,,,,,0:11:42,,,,,,23,17.20%,,,,,,
2014-06-15,2014-W24,1193,18,52,2,2,19,7,3,176,,58,269,,,,,,0:17:39,,,,,,29,15.24%,,591,203,,,
2014-06-08,2014-W23,1017,15,46,176,0,121,45,5,-3,,75,260,,,,,,0:13:02,,,,,,30,26.92%,,,,,,
2014-06-01,2014-W22,1020,10,32,0,4,26,1,1,3,,61,201,,,,,,0:14:36,,,,,,33,16.42%,,574,123,,,
2014-05-25,2014-W21,1017,9,31,9,22,3758,31,9,1017,,60,178,,,,,,0:14:10,,,,,,26,21.91%,,549,232,,,
2014-05-18,2014-W20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-11,2014-W19,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-05-04,2014-W18,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-04-27,2014-W17,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-04-20,2014-W16,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-04-13,2014-W15,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-04-06,2014-W14,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-03-30,2014-W13,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-03-23,2014-W12,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-03-16,2014-W11,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-03-09,2014-W10,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-03-02,2014-W09,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-02-23,2014-W08,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-02-16,2014-W07,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-02-09,2014-W06,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-02-02,2014-W05,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-01-26,2014-W04,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-01-19,2014-W03,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-01-12,2014-W02,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
2014-01-05,2014-W01,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
