id,batch,name,screen_name,profile_url,profile_image,description,location,url,time_zone,followers_count,following_count,statuses_count,verified,created_at
75896448,1,"David Miliband",DMiliband,https://twitter.com/DMiliband,https://pbs.twimg.com/profile_images/378800000470268088/afbf1007412b64e968651130341db33d_normal.jpeg,"President & CEO of the International Rescue Committee @theIRC","New York",http://t.co/fdtosQp0bi,London,160846,1828,3726,1,"2009-09-20 22:55:56+00:00"
7905122,1,"Guardian Tech",guardiantech,https://twitter.com/guardiantech,https://pbs.twimg.com/profile_images/425656624129118209/CqBP-X54_normal.jpeg,"News and comment from the Guardian's technology team","London, UK",http://t.co/OEvaPZ8n3c,London,2207755,23264,17208,1,"2007-08-02 11:23:13+00:00"
2563765338,1,"Karen Jacobsen",CoordinatorJIPS,https://twitter.com/CoordinatorJIPS,https://pbs.twimg.com/profile_images/477140321449422848/XaQQbWE4_normal.jpeg,"Coordinator @JIPS_Profiling | Research Director @FeinsteinIntCen | Associate Research Professor @FletcherSchool","Geneva, Switzerland",http://t.co/OWuubYVgQ3,Athens,39,93,8,0,"2014-06-12 17:25:16+00:00"
352201562,1,"CDAC Network",CDACN,https://twitter.com/CDACN,https://pbs.twimg.com/profile_images/458616704059203584/Kh-TYvN0_normal.png,"Communicating with Disaster Affected Communities: A cross-sector collaboration to mainstream two-way communications into humanitarian policy and practice","London, UK",http://t.co/gvplYMsLf2,London,2224,824,3408,0,"2011-08-10 08:43:19+00:00"
15982558,1,"NetHope, Inc.",NetHope_org,https://twitter.com/NetHope_org,https://pbs.twimg.com/profile_images/378800000074394296/53d7cc2ac9a057780803982c85fd416e_normal.png,"NetHope is a new-generation collaboration of leading international NGOs serving tens of millions of endbeneficiaries each year in 180+ countries.","",http://t.co/FJc8fvKJ9G,"Eastern Time (US & Canada)",3500,2016,3327,0,"2008-08-25 15:22:23+00:00"
216992383,1,ETCluster,ITresponse,https://twitter.com/ITresponse,https://pbs.twimg.com/profile_images/417904370051584000/RJqMDtMD_normal.jpeg,"#ETCluster is a global network of organizations that provides common communications services in humanitarian emergencies.","",http://t.co/6Cnal3buSO,"Abu Dhabi",464,375,2049,0,"2010-11-18 08:25:44+00:00"
2190120602,1,"FoodSecurity Cluster",FSCluster,https://twitter.com/FSCluster,https://pbs.twimg.com/profile_images/432812952052174849/RNaVn8y6_normal.jpeg,"Strengthening Humanitarian Response. The Food Security Cluster coordinates the food security response during a humanitarian crisis.","Rome, Italy ",http://t.co/6D9yqfMYKf,Rome,217,139,395,0,"2013-11-12 11:03:27+00:00"
2563025276,1,"Global WASH Cluster",WASHClusterGlob,https://twitter.com/WASHClusterGlob,https://pbs.twimg.com/profile_images/477090681186316288/KUnybc4c_normal.jpeg,"","",,,33,38,7,0,"2014-06-12 08:59:32+00:00"
703213387,1,"HuffPost Data",HuffPostData,https://twitter.com/HuffPostData,https://pbs.twimg.com/profile_images/2409321155/4mrdm9fkqj0wc5s09frg_normal.png,"@huffingtonpost's data journalism desk is @bycoffe @hil_fung @jayboice @shaneshifflett. Visualization, analysis, interactive maps, real-time graphics.","",http://t.co/FIsZ9CsKSb,"Eastern Time (US & Canada)",1732,44,107,0,"2012-07-18 15:02:20+00:00"
16435126,1,"Erica Kochi",ericakochi,https://twitter.com/ericakochi,https://pbs.twimg.com/profile_images/3512332904/7df012335637efef0aebcb495f0d5b1d_normal.jpeg,"co-leads (and co-founded) UNICEF Innovation, TIME100 most influential, mobiles in emerging markets, epicurean, extreme sports enthusiast",NYC,http://t.co/WK8lG6K3Wq,"Eastern Time (US & Canada)",2798,691,1438,0,"2008-09-24 14:39:57+00:00"
37605443,1,"Megan Smith",smithmegan,https://twitter.com/smithmegan,https://pbs.twimg.com/profile_images/1572948743/Screen_shot_2011-10-04_at_2.29.09_PM_normal.png,"entrepreneur, VP at Google, MIT","San Francisco, California",http://t.co/GbiCuUSU,,3329,152,86,0,"2009-05-04 05:49:31+00:00"
22512172,1,"Jake Porway",jakeporway,https://twitter.com/jakeporway,https://pbs.twimg.com/profile_images/3527353200/1541de748677c903dc06829659046763_normal.jpeg,"Believer in tech+data for beautiful purposes || Director @DataKind || TV nerd @NatGeoChannel || Fiercely optimistic","Brooklyn, NY",http://t.co/qthWwWN5sx,"Eastern Time (US & Canada)",6957,291,4073,0,"2009-03-02 18:00:49+00:00"
19476883,1,"Max Shron",mshron,https://twitter.com/mshron,https://pbs.twimg.com/profile_images/1994187102/mshron-headshot_normal.jpg,"Big ideas are one of life's small pleasures.

Occupation: Data Strategist.
Preoccupation: Everything else.","Noo Yawk",http://t.co/lHG5uGlwyE,"Mountain Time (US & Canada)",1197,435,1632,0,"2009-01-25 03:55:08+00:00"
458647237,1,DataKind,DataKind,https://twitter.com/DataKind,https://pbs.twimg.com/profile_images/378800000380257854/e7784fdbf69427d30e356b7076d26b6e_normal.png,"Tackling humanity's biggest problems through data science","Brooklyn, NY",http://t.co/eIgzbeR7z2,"Atlantic Time (Canada)",9370,131,1769,0,"2012-01-08 20:04:26+00:00"
2570420317,1,"OCHA CAR",OCHA_CAR,https://twitter.com/OCHA_CAR,https://pbs.twimg.com/profile_images/478432794503155712/eZy6tuze_normal.jpeg,"The United Nations Office for the Coordination of Humanitarian Affairs (OCHA) in the Central African Republic. Tweets in English and en Français.","Bangui, CAR",http://t.co/I6RJrIgbeT,Amsterdam,283,228,33,0,"2014-06-16 06:57:43+00:00"
410537231,1,MadeWithCode,madewithcode,https://twitter.com/madewithcode,https://pbs.twimg.com/profile_images/479353914882392064/EDsK6PF4_normal.png,"Things you love are Made with Code.","Mountain View, CA ",http://t.co/NOEPY6MhLH,"Central Time (US & Canada)",80762,139,99,0,"2011-11-12 07:01:34+00:00"
18872221,1,"John Adams",johnthegeo,https://twitter.com/johnthegeo,https://pbs.twimg.com/profile_images/2371018192/image_normal.jpg,"@dfid_uk geek leading on IT strategy, MI and new ways of doing #digital. Chair of #IATI TAG. Also #christianity #food #ww1 #geology #ireland. All my own views.",Glasgow,http://t.co/ESkrn36KLe,Edinburgh,931,956,7223,0,"2009-01-11 17:04:24+00:00"
55236002,1,Mapbox,Mapbox,https://twitter.com/Mapbox,https://pbs.twimg.com/profile_images/459055930634539008/f_MZ1vEu_normal.png,"Creating beautiful custom maps with open source tools.","Washington, DC",http://t.co/fkjH26CGiW,"Eastern Time (US & Canada)",20777,1614,3026,0,"2009-07-09 13:34:45+00:00"
147493361,1,"Humanitarian OSM",hotosm,https://twitter.com/hotosm,https://pbs.twimg.com/profile_images/1225068811/Hot_logo_square_normal.png,"We are the Humanitarian OpenStreetMap Team. Our focus is the use of OSM for humanitarian response & economic development. #opensource #opendata #openstreetmap","",http://t.co/PUcAc47rSY,Quito,4111,1397,1222,0,"2010-05-24 08:20:28+00:00"
331803536,1,CityLab,CityLab,https://twitter.com/CityLab,https://pbs.twimg.com/profile_images/467065464892301312/5I7ayekg_normal.png,"All things urban, from The Atlantic.","",http://t.co/RyYI3KyRXc,"Central Time (US & Canada)",61599,775,17785,1,"2011-07-08 18:55:32+00:00"
146105775,1,"Senseable City Lab",SenseableCity,https://twitter.com/SenseableCity,https://pbs.twimg.com/profile_images/1110029336/world_normal.png,"We're a research group at MIT exploring cities and emerging technologies. Directed by Carlo Ratti. http://t.co/x9yHNFWH","MIT (Cambridge, MA)",http://t.co/itwAjpujsL,"Eastern Time (US & Canada)",8598,99,1243,0,"2010-05-20 16:17:27+00:00"
14445325,1,betaworks,betaworks,https://twitter.com/betaworks,https://pbs.twimg.com/profile_images/464498657421570048/Owb_s9zy_normal.png,"We build and invest in great companies.",NYC,http://t.co/bgt9oQ14nt,Quito,13839,436,1557,0,"2008-04-19 18:12:24+00:00"
17925320,1,OpenStreetMap,openstreetmap,https://twitter.com/openstreetmap,https://pbs.twimg.com/profile_images/1332105692/OSM_fixed_512_normal.png,"OpenStreetMap is the free editable map of the whole world. It is made by people like you.",everywhere,http://t.co/1EAqW1BJqT,London,24323,69,1105,0,"2008-12-06 17:41:16+00:00"
1494655406,1,"Wired Map Lab",wiredmaps,https://twitter.com/wiredmaps,https://pbs.twimg.com/profile_images/3774788839/361b278473ffb53d561400349de59b01_normal.jpeg,"Wired's blog all about maps and mapmaking. Learn how to make maps along with @betsymason and @dosmonos.","San Francisco",http://t.co/h3TCwafaPg,Arizona,3532,331,483,0,"2013-06-09 04:43:14+00:00"
16447675,1,"Rabih Torbay-IMC",rtorbay,https://twitter.com/rtorbay,https://pbs.twimg.com/profile_images/482945964723150849/cMFOUVep_normal.jpeg,"Vice President, int'l ops","Washington, D.C",https://t.co/FB5amUZeBl,,98,150,62,0,"2008-09-25 06:16:30+00:00"
86862517,1,"Neil Blumenthal",NeilBlumenthal,https://twitter.com/NeilBlumenthal,https://pbs.twimg.com/profile_images/456901168359145472/kaCpuc0k_normal.jpeg,"Loves helping people see - co-founder & co-ceo of @WarbyParker, former director of @VisionSpring, husband of @CricketsCircle","NYC (and often other places)",http://t.co/8Wd1EFzjTb,"Eastern Time (US & Canada)",8281,305,2054,0,"2009-11-02 03:19:13+00:00"
1216627195,1,"StartupBus NYC",StartupBusNYC,https://twitter.com/StartupBusNYC,https://pbs.twimg.com/profile_images/3303564006/279fb9e8b5d30fc36dd4728dbdf3bcb8_normal.png,"Conceive, build & launch a startup in 72 hours on a speeding bus!  Tweets by @jonmarkgo @pinzler @helloaliceng @NateCooper",NYC,http://t.co/nCiekJdf81,,502,40,416,0,"2013-02-24 21:36:46+00:00"
1240529294,1,Exversion,exversiondata,https://twitter.com/exversiondata,https://pbs.twimg.com/profile_images/3347080192/d5c8f098099655168e9edd3cf36f492f_normal.png,"Access thousands of data sets, consume them in one simple API. Publish small and enterprise data, then collaborate, share and version-control it.","New York",http://t.co/0mqAssxFAk,"Atlantic Time (Canada)",730,419,228,0,"2013-03-04 04:56:19+00:00"
362489144,1,"Javier Teran",JTeran2000,https://twitter.com/JTeran2000,https://pbs.twimg.com/profile_images/477065153868214272/Wr6w3DJh_normal.jpeg,"Statistician. New York. USA.","",,"Eastern Time (US & Canada)",16,206,49,0,"2011-08-26 13:51:04+00:00"
24674765,1,PublishWhatYouFund,aidtransparency,https://twitter.com/aidtransparency,https://pbs.twimg.com/profile_images/1154393414/publish5_normal.png,"The global campaign for aid transparency","ÜT: 13.740436,100.536685",http://t.co/McVxuXoGp6,London,9494,844,5758,0,"2009-03-16 10:43:50+00:00"
95807485,1,"Leandro A. Salazar ",TeachaLeo,https://twitter.com/TeachaLeo,https://pbs.twimg.com/profile_images/469516388332093440/kmBuEQC4_normal.jpeg,"@UNOCHA Field Information Services. I'm where I want to be at this particular moment. Former @UniSantiagoCali #Education #Negotiations   #Humanitarianism #OHI","Geneva, Switzerland",,Bern,97,331,729,0,"2009-12-10 02:56:59+00:00"
19649203,1,"Kim Scriven",KimScriven,https://twitter.com/KimScriven,https://pbs.twimg.com/profile_images/325349898/5331_113502577805_562477805_2940116_1238050_n_normal.jpg,"I help humanitarian organisations innovate to meet the challenges they face, when I'm not fishing or listening to bad hip-hop. Views are my own etc...",London,,London,1061,866,3814,0,"2009-01-28 12:35:29+00:00"
17752630,1,"Paul Currion",paulcurrion,https://twitter.com/paulcurrion,https://pbs.twimg.com/profile_images/475564909334233088/CWrxhS3i_normal.jpeg,"Writes. Plays. Builds. Slays. Nights. Days.","London / Belgrade / Djenovici",http://t.co/CyexQKomW7,Athens,627,152,2336,0,"2008-11-30 11:03:52+00:00"
20355636,1,"robert fabricant",fabtweet,https://twitter.com/fabtweet,https://pbs.twimg.com/profile_images/76431189/150_normal.jpg,"Principal, Design Impact Group, Dalberg
// frog fellow // operate at the intersection of behavior & design // doodle in little boxes // unusually small head","New York City",http://t.co/6y7vCnGWyi,"Eastern Time (US & Canada)",8210,609,3072,0,"2009-02-08 08:07:37+00:00"
38146999,1,"UN Environment",UNEP,https://twitter.com/UNEP,https://pbs.twimg.com/profile_images/378800000362637389/bfc51dbe5c02ed25fecbc9d4dae35bdc_normal.png,"The official twitter account of the United Nations Environment Programme (UNEP)","UNEPHQ, Nairobi, Kenya",http://t.co/YeeAdllZm0,Nairobi,226336,1595,6668,1,"2009-05-06 09:34:32+00:00"
14499829,1,WHO,WHO,https://twitter.com/WHO,https://pbs.twimg.com/profile_images/2189537674/WHOLogo_normal.png,"Official Twitter account of the World Health Organization, the United Nations' health agency","Geneva, Switzerland",http://t.co/PYgBcvzlvM,Bern,1329197,941,11159,1,"2008-04-23 19:56:27+00:00"
14159148,1,"United Nations",UN,https://twitter.com/UN,https://pbs.twimg.com/profile_images/3109416113/a897e263cfb96fd36e8a916a7f2e3ace_normal.jpeg,"Official twitter account of United Nations. Get the latest information on the UN.","UNHQ, New York",http://t.co/IfCHf7uqII,"Eastern Time (US & Canada)",2772514,778,28305,1,"2008-03-16 20:15:36+00:00"
33933259,1,UNICEF,UNICEF,https://twitter.com/UNICEF,https://pbs.twimg.com/profile_images/446754462363684864/f3ZNeimB_normal.png,"UNICEF promotes the rights and wellbeing of every child in 190 countries and territories, with a special focus on reaching those in greatest need.","United Nations",http://t.co/XWHw5QThhA,"Eastern Time (US & Canada)",2863649,25111,12832,1,"2009-04-21 15:16:12+00:00"
17899109,1,"Gates Foundation",gatesfoundation,https://twitter.com/gatesfoundation,https://pbs.twimg.com/profile_images/471379583829164032/Y-53kry0_normal.jpeg,"We work to help all people lead healthy, productive lives, focused on health, poverty, and opportunity. Follow our work: @gateshealth, @gatespoverty, @gatesed.","Seattle, Washington",http://t.co/R8iPutefBT,"Pacific Time (US & Canada)",1221302,870,8525,1,"2008-12-05 15:19:15+00:00"
104196611,1,"Jennifer Dunnam",jdunnam,https://twitter.com/jdunnam,https://pbs.twimg.com/profile_images/448651213781757952/MFP7jzJP_normal.jpeg,"technology dreamer | system thinker | collaborative player | iterative maker","New York, New York",http://t.co/GvHbLCCn2d,"Eastern Time (US & Canada)",143,139,48,0,"2010-01-12 15:53:46+00:00"
2568002237,1,"raj pannu",EmergenceRaj,https://twitter.com/EmergenceRaj,https://pbs.twimg.com/profile_images/471433925538361346/Qtv6znYD_normal.jpeg,"","",,,7,32,1,0,"2014-05-27 23:31:10+00:00"
2471363833,1,"Understanding Risk  ",UR_Forum,https://twitter.com/UR_Forum,https://pbs.twimg.com/profile_images/461576108618420224/8Xx99OY9_normal.png,"Global community of experts and practitioners in the field of disaster risk assessment. UR Forum is June 30-July 4 in London",London,https://t.co/BsR7tLH5gn,"Mountain Time (US & Canada)",190,329,164,0,"2014-04-30 18:35:59+00:00"
109269528,1,"Kirsten Mildren",Kirstenmildren,https://twitter.com/Kirstenmildren,https://pbs.twimg.com/profile_images/478914754157629443/cqsdTwxz_normal.jpeg,"From Bangkok to New York doing communications for UN OCHA and tweeting about humanitarian disasters and issues.  Tweets my own.","New York but global",http://t.co/G91TucjVId,Bangkok,1186,564,1678,0,"2010-01-28 14:08:50+00:00"
382067003,1,"fabio sergio",freegorifero,https://twitter.com/freegorifero,https://pbs.twimg.com/profile_images/472006722614067200/8qPPRQ-G_normal.jpeg,"vice president of creative @frogdesign | global lead, #frogImpact | Design(er), architect(ure) | human centered innovation | user experience strategy",Milano,http://t.co/hkH1wAG2VG,Rome,1135,765,2995,0,"2011-09-29 12:47:43+00:00"
947783502,1,"Joanna Macrae",joanna_macrae,https://twitter.com/joanna_macrae,https://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,"Humanitarian Head of Profession and Head of Humanitarian Evidence & Innovation Programme, DFID. London. Views my own.","",,,51,135,175,0,"2012-11-14 13:49:21+00:00"
