tweets,followers,favorites,following,date
188,952,28,257,"July 18, 2014"
,609,,211,"June 30, 2014"
,591,,203,"June 20, 2014"
,580,,138,"June 16, 2014"
,574,,123,"June 6, 2014"
,549,,232,"May 30, 2014"
,521,,218,"May 23, 2014"
,410,,8,"May 5, 2014"
,431,,9,"April 25, 2014"
,410,,8,"April 16, 2014"
